"period","model","threshold","false_positive_weight","outcome_prevalence","action","true_positive_definition","false_positive_definition","TP","FP","FN","TN","net_benefit","net_benefit_all","net_benefit_none","standardized_net_benefit","race_ethnicity_group"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.37,0.587301587301587,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20241,6274,34,61,0.622182256342346,0.622113658190321,0,0.816585442232791,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.38,0.612903225806452,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20234,6265,41,70,0.61609024014741,0.616018717193391,0,0.808589952666958,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.39,0.639344262295082,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20226,6250,49,85,0.609924778679284,0.609723942065414,0,0.800498069576115,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.4,0.666666666666667,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20214,6235,61,100,0.603432293623951,0.603219341099837,0,0.791976983148377,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.41,0.694915254237288,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20201,6215,74,120,0.596847113675883,0.596494245186275,0,0.783334238960062,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.42,0.724137931034483,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20184,6196,91,139,0.589900089414143,0.589537249413625,0,0.774216590841447,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.43,0.754385964912281,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20170,6177,105,158,0.582869518780039,0.582336148526144,0,0.764989291972224,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.44,0.785714285714286,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20143,6156,132,179,0.57520266280131,0.574877865464111,0,0.754926898009512,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.45,0.818181818181818,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20123,6129,152,206,0.567770147927983,0.567148372108913,0,0.745172065911893,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.46,0.851851851851852,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20088,6101,187,234,0.559596086127465,0.559132601222041,0,0.73444398776088,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.47,0.886792452830189,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20062,6068,213,267,0.551707756340715,0.55081434841491,0,0.724090919665914,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.48,0.923076923076923,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20020,6024,255,311,0.54338160899604,0.542176162807504,0,0.713163236270511,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.49,0.96078431372549,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",19973,5974,302,361,0.534884423517622,0.533199224823338,0,0.702011073233239,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.5,1,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",19918,5923,357,412,0.525930101465614,0.523863209319805,0,0.690258939580764,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.51,1.04081632653061,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",19850,5848,425,487,0.517223078633934,0.514146131958984,0,0.678831374720048,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.52,1.08333333333333,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",19771,5788,504,547,0.507353125391457,0.504024176374796,0,0.665877517468146,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.53,1.12765957446809,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",19677,5719,598,616,0.497103152710147,0.493471499276388,0,0.652424902274576,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.54,1.17391304347826,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",19563,5642,712,693,0.486275182589089,0.482460010130222,0,0.63821369216748,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.55,1.22222222222222,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",19428,5549,847,786,0.47523069856779,0.470959121466449,0,0.62371831757775,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.56,1.27272727272727,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",19288,5433,987,902,0.464985822144785,0.458935465136142,0,0.610272390987557,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.57,1.32558139534884,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",19120,5295,1155,1040,0.454755599835697,0.446352568976517,0,0.596845697244286,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.58,1.38095238095238,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",18897,5130,1378,1205,0.443920115960702,0.433170487285482,0,0.582624625682579,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.59,1.4390243902439,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",18676,4978,1599,1357,0.432639480848022,0.419345377219274,0,0.567819313704851,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.6,1.5,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",18404,4808,1871,1527,0.420593761743705,0.404829011649756,0,0.552009864364981,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.61,1.56410256410256,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",18100,4614,2175,1721,0.408990258144711,0.389568217076672,0,0.536780802428151,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.62,1.63157894736842,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",17761,4409,2514,1926,0.397120196206412,0.373504222789217,0,0.521201894996431,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.63,1.7027027027027,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",17370,4192,2905,2143,0.384527255553186,0.356571904486222,0,0.504674242676709,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.64,1.77777777777778,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",16947,3972,3328,2363,0.371501941625955,0.338698901833062,0,0.487579120427456,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.65,1.85714285714286,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",16456,3708,3819,2627,0.359628496268857,0.319804584742578,0,0.471995772415008,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.66,1.94117647058824,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",15873,3440,4402,2895,0.34556005040122,0.299798837235007,0,0.453531587727569,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.67,2.03030303030303,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",15318,3180,4957,3155,0.333019029073144,0.278580620181522,0,0.437072077121399,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.68,2.125,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",14733,2906,5542,3429,0.321599022923713,0.256036264562195,0,0.422083847102343,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.69,2.2258064516129,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",14091,2634,6184,3701,0.309215550787359,0.232037434386782,0,0.405831112525357,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.7,2.33333333333333,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",13395,2414,6880,3921,0.29170737817863,0.206438682199674,0,0.382852445540485,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.71,2.44827586206897,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",12712,2176,7563,4159,0.277510399253586,0.179074498827249,0,0.364219567158468,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.72,2.57142857142857,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",12012,1955,8263,4380,0.262489933966822,0.149755730928222,0,0.344505901004051,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.73,2.7037037037037,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",11321,1746,8954,4589,0.248039584116247,0.118265202444083,0,0.325540484997945,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.74,2.84615384615385,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",10645,1594,9630,4741,0.22954644003122,0.0843523256150088,0,0.301269088494736,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.75,3,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",9972,1411,10303,4924,0.215670800450958,0.0477264186396091,0,0.283057953144266,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.76,3.16666666666667,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",9284,1241,10991,5094,0.201208818739822,0.00804835274959281,0,0.264077270859022,"Hispanic"
