"model","term","estimate","std_error","lower_95","upper_95","odds_ratio","odds_ratio_lower_95","odds_ratio_upper_95","z","p_value"
"race_neutral_counselling_logistic","(Intercept)",-4.87095696491866,0.245725651687,-5.35257039230281,-4.3893435375345,0.00766602565895077,0.0047359620605183,0.0124088725063097,-19.8227451284702,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000189485171215785
"race_neutral_counselling_logistic","maternal_age",-0.0288018137296647,0.00069615545846058,-0.0301662533558884,-0.027437374103441,0.97160900495145,0.970284207132749,0.972935611610537,-41.3726752834125,0
"race_neutral_counselling_logistic","maternal_height_cm",0.0440847960297261,0.00151585700805598,0.0411137708882237,0.0470558211712284,1.04507096900028,1.04197064472795,1.0481805181108,29.0824238667887,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000598965673354221
"race_neutral_counselling_logistic","prepregnancy_weight_kg",-0.0196725113028914,0.00159709169613414,-0.0228027535073223,-0.0165422690984605,0.980519729861511,0.977455264382651,0.983593802888679,-12.3177093403653,0.0000000000000000000000000000000000727309256625576
"race_neutral_counselling_logistic","prepregnancy_bmi",0.00803535961493836,0.00422734754042395,-0.000250089314426553,0.0163208085443033,1.00806772976084,0.999749941955299,1.0164547204651,1.90080411844552,0.0573276744408291
"race_neutral_counselling_logistic","total_prior_live_births",0.603037589873341,0.00425381310215248,0.594700269396157,0.611374910350524,1.82766206482627,1.81248760553203,1.84296356731472,141.764006878487,0
"race_neutral_counselling_logistic","previous_preterm_birth_binary",0.164615819299892,0.0140379583698181,0.137101926478576,0.192129712121208,1.17894010566235,1.14694504663251,1.21182769551162,11.7264786632948,0.000000000000000000000000000000093258191093246
"race_neutral_counselling_logistic","prepregnancy_diabetes_binary",-0.552519507874046,0.0331375987616204,-0.617468007980961,-0.487571007767131,0.57549801046895,0.539308234450121,0.614116267650558,-16.6734926042369,0.0000000000000000000000000000000000000000000000000000000000000204300373965483
"race_neutral_counselling_logistic","prepregnancy_hypertension_binary",-0.449847351377709,0.0238196643315565,-0.496533035591393,-0.403161667164024,0.637725492109909,0.608637129340247,0.668204063934902,-18.8855453677299,0.000000000000000000000000000000000000000000000000000000000000000000000000000000149980915046813
"race_neutral_counselling_logistic","gestational_diabetes_binary",-0.0457293519813914,0.0129736953978556,-0.0711573277075813,-0.0203013762552015,0.955300477387204,0.931315358890576,0.979903309211339,-3.52477459806479,0.000423843270518825
"race_neutral_counselling_logistic","gestational_hypertension_binary",-0.369737454522328,0.0145358305795524,-0.398227158943627,-0.341247750101029,0.690915703620423,0.671509470953298,0.7108827651107,-25.4362798533466,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010014103039091
"race_inclusive_counselling_logistic","(Intercept)",-4.76602602726289,0.248193168826145,-5.25247569937101,-4.27957635515478,0.00851414801132983,0.00523454318916801,0.0138485277012976,-19.2028896274797,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000035006433573248
"race_inclusive_counselling_logistic","maternal_age",-0.0327431266046706,0.000712420711456187,-0.0341394455409652,-0.0313468076683761,0.967787126427683,0.966436729948244,0.969139409808349,-45.9603799807332,0
