"model","dataset","n","vbac_events","failed_tolac","observed_rate","observed_rate_lower","observed_rate_upper","mean_predicted","calibration_gap","calibration_gap_percentage_points","absolute_calibration_gap_percentage_points","auc","auc_lower","auc_upper","brier","brier_lower","brier_upper","calibration_intercept","calibration_intercept_lower","calibration_intercept_upper","calibration_slope","calibration_slope_lower","calibration_slope_upper","observed_expected","observed_expected_lower","observed_expected_upper"
"race_neutral_counselling_logistic","development_5fold_internal_validation",499360,378150,121210,0.757269304710029,0.756078200165969,0.758456451060252,0.757269467004292,0.000000162294262806562,0.0000162294262806562,0.0000162294262806562,0.698020062741023,0.696368155749119,0.699671969732926,0.168122226890118,0.167546089356475,0.168698364423761,-0.000000954896843472821,-0.00672867327048451,0.00672676347679757,0.999643772145106,0.98842051205714,1.01086703223307,0.999999785684925,0.99681504247703,1.00319218696111
"race_inclusive_counselling_logistic","development_5fold_internal_validation",499360,378150,121210,0.757269304710029,0.756078200165969,0.758456451060252,0.757269110193648,-0.000000194516380891407,-0.0000194516380891407,0.0000194516380891407,0.70393863068526,0.702298779814388,0.705578481556131,0.166914447824852,0.16633783992272,0.167491055726984,0.00000115348017210879,-0.00675295804810298,0.00675526500844719,0.999496361995397,0.988746625407871,1.01024609858292,1.0000002568656,0.996815512157111,1.00319265964598
"race_neutral_counselling_logistic","intermediate_validation_2022_2023",179310,135219,44091,0.754107411745023,0.752108854032217,0.756095081919528,0.749802469874361,-0.00430494187066122,-0.430494187066122,0.430494187066122,0.702592194200521,0.699855791429514,0.705328596971527,0.168611468493381,0.167670269274733,0.169552667712029,0.0250793354710124,0.013877839738995,0.0362808312030297,1.00638688046081,0.988051165858865,1.02472259506276,1.00574143463596,1.00038785610584,1.0111165604534
"race_inclusive_counselling_logistic","intermediate_validation_2022_2023",179310,135219,44091,0.754107411745023,0.752108854032217,0.756095081919528,0.75006845899003,-0.00403895275499211,-0.403895275499211,0.403895275499211,0.708118721784806,0.705403271646482,0.71083417192313,0.167429566757596,0.166485884205655,0.168373249309538,0.0237239022982975,0.0124782008540907,0.0349696037425043,1.00530541435095,0.987714866428621,1.02289596227329,1.00538477882463,1.00003309877939,1.01075799851611
"race_neutral_counselling_logistic","2024_posthoc_comparative_evaluation",94071,71038,23033,0.755153022716884,0.75239484046167,0.757890367098453,0.746718914538573,-0.00843410817831147,-0.843410817831147,0.843410817831147,0.706692496660045,0.702932812897023,0.710452180423067,0.167550327016934,0.166270981639972,0.168829672393896,0.049018632934334,0.0335326142806041,0.0645046515880638,1.03200238477983,1.00639492235926,1.0576098472004,1.01129489023795,1.00387167827674,1.01875935776874
"race_inclusive_counselling_logistic","2024_posthoc_comparative_evaluation",94071,71038,23033,0.755153022716884,0.75239484046167,0.757890367098453,0.748086872960551,-0.00706614975633335,-0.706614975633335,0.706614975633335,0.712819336997814,0.709090019383412,0.716548654612215,0.16637178903563,0.165085070637029,0.167658507434231,0.0414466727687145,0.0259025206930648,0.0569908248443641,1.03155802880775,1.00694540086217,1.05617065675333,1.00944562725499,1.00203598944631,1.01689644519294
