period,n,lp_mean,lp_sd,lp_iqr,predicted_probability_sd,performance_dataset,auc,Period
development_2016_2021,499360,1.31063888857996,0.893457696147356,0.909120087254985,0.117692240284289,development_5fold_internal_validation,0.698020062741023,"Development
2016–2021"
intermediate_validation_2022_2023,179310,1.272533147663,0.908288030859001,0.93038055695165,0.122627464849685,intermediate_validation_2022_2023,0.702592194200521,"Intermediate
2022–2023"
2024_posthoc_comparative_evaluation,94071,1.25555941010121,0.912324013735737,0.932856267579554,0.123699342869776,2024_posthoc_comparative_evaluation,0.706692496660045,"2024
final test"
